,"Date","Max.TemperatureF","Mean.TemperatureF","Min.TemperatureF","Max.Dew.PointF","MeanDew.PointF","Min.DewpointF","Max.Humidity","Mean.Humidity","Min.Humidity","Max.Sea.Level.PressureIn","Mean.Sea.Level.PressureIn","Min.Sea.Level.PressureIn","Max.VisibilityMiles","Mean.VisibilityMiles","Min.VisibilityMiles","Max.Wind.SpeedMPH","Mean.Wind.SpeedMPH","Max.Gust.SpeedMPH","PrecipitationIn","CloudCover","Events","WindDirDegrees.br...","city","season"
24080,2014-01-01,"56","49","41","45","40","36","83","69","55","30.22","30.17","30.13","10","9","7","9","1","10","0.00","3","","290<br />","San Francisco (CA)","Winter"
24081,2014-01-02,"62","53","43","45","39","34","80","58","36","30.18","30.11","30.06","10","10","10","6","1","6","0.00","3","","146<br />","San Francisco (CA)","Winter"
24082,2014-01-03,"64","54","44","46","41","34","80","59","37","30.08","30.02","29.96","10","10","9","14","4","16","0.00","3","","297<br />","San Francisco (CA)","Winter"
24083,2014-01-04,"66","55","43","46","42","33","93","65","36","30.09","30.02","29.99","10","6","0","15","2","18","0.00","2","Fog","266<br />","San Francisco (CA)","Winter"
24084,2014-01-05,"66","55","44","38","32","27","65","45","24","30.21","30.16","30.09","10","10","10","14","5","15","0.00","0","","125<br />","San Francisco (CA)","Winter"
24085,2014-01-06,"60","52","44","45","40","32","71","61","51","30.28","30.21","30.17","10","10","7","9","2","10","0.00","5","","75<br />","San Francisco (CA)","Winter"
24086,2014-01-07,"61","54","46","52","45","39","86","70","53","30.22","30.18","30.14","10","9","7","15","4","17","T","5","Rain","304<br />","San Francisco (CA)","Winter"
24087,2014-01-08,"59","56","52","51","48","46","86","79","72","30.24","30.20","30.16","10","9","3","20","9","24","0.01","7","","281<br />","San Francisco (CA)","Winter"
24088,2014-01-09,"60","56","52","50","47","43","89","73","57","30.27","30.23","30.20","10","10","5","25","12","31","T","5","","287<br />","San Francisco (CA)","Winter"
24089,2014-01-10,"60","54","48","48","46","43","89","75","60","30.31","30.25","30.19","10","9","6","15","6","17","0.00","4","","310<br />","San Francisco (CA)","Winter"
24090,2014-01-11,"58","52","46","51","46","42","93","83","72","30.30","30.23","30.16","10","10","6","18","6","22","T","4","","281<br />","San Francisco (CA)","Winter"
24091,2014-01-12,"60","53","46","47","42","36","93","70","47","30.40","30.33","30.27","10","10","7","17","7","20","0.00","2","","313<br />","San Francisco (CA)","Winter"
24092,2014-01-13,"67","55","42","44","37","32","71","50","28","30.47","30.40","30.35","10","10","10","18","3","22","0.00","1","","88<br />","San Francisco (CA)","Winter"
24093,2014-01-14,"72","58","44","42","37","26","71","45","19","30.45","30.38","30.32","10","10","10","12","2","15","0.00","0","","134<br />","San Francisco (CA)","Winter"
24094,2014-01-15,"73","61","48","40","34","25","71","44","17","30.35","30.27","30.20","10","10","10","10","3","13","0.00","0","","131<br />","San Francisco (CA)","Winter"
24095,2014-01-16,"73","60","46","44","35","27","71","45","19","30.24","30.18","30.13","10","10","10","8","2","10","0.00","0","","125<br />","San Francisco (CA)","Winter"
24096,2014-01-17,"67","56","45","45","39","35","71","53","34","30.20","30.15","30.11","10","9","5","5","1","7","0.00","0","","128<br />","San Francisco (CA)","Winter"
24097,2014-01-18,"67","55","43","47","39","32","77","57","36","30.18","30.11","30.06","10","9","7","7","1","12","0.00","0","","128<br />","San Francisco (CA)","Winter"
24098,2014-01-19,"67","55","43","44","38","34","76","54","32","30.14","30.10","30.06","10","10","8","7","2","7","0.00","1","","110<br />","San Francisco (CA)","Winter"
24099,2014-01-20,"66","55","43","48","41","34","76","60","43","30.23","30.17","30.12","10","9","7","9","2","9","0.00","1","","354<br />","San Francisco (CA)","Winter"
24100,2014-01-21,"68","56","43","44","37","25","76","48","20","30.27","30.21","30.16","10","10","10","12","2","13","0.00","3","","258<br />","San Francisco (CA)","Winter"
24101,2014-01-22,"65","55","44","47","41","31","77","64","51","30.17","30.05","29.93","10","10","10","18","5","22","0.00","1","","304<br />","San Francisco (CA)","Winter"
24102,2014-01-23,"69","57","44","47","38","27","80","51","21","30.02","29.93","29.88","10","9","7","17","5","21","0.00","0","","61<br />","San Francisco (CA)","Winter"
24103,2014-01-24,"64","55","46","47","41","32","80","56","32","30.28","30.16","30.03","10","8","4","9","3","9","0.00","3","","5<br />","San Francisco (CA)","Winter"
24104,2014-01-25,"65","57","48","48","43","34","83","60","37","30.27","30.19","30.13","10","9","7","12","2","13","0.00","2","","281<br />","San Francisco (CA)","Winter"
24105,2014-01-26,"66","57","48","48","43","33","83","65","46","30.14","30.09","30.03","10","10","9","21","6","24","0.00","3","","317<br />","San Francisco (CA)","Winter"
24106,2014-01-27,"59","54","48","48","46","43","83","73","62","30.21","30.15","30.08","10","10","7","18","6","20","0.00","6","","301<br />","San Francisco (CA)","Winter"
24107,2014-01-28,"65","59","53","57","53","47","90","81","72","30.27","30.22","30.20","10","10","2","17","5","21","0.00","7","","290<br />","San Francisco (CA)","Winter"
24108,2014-01-29,"63","59","54","57","54","50","93","89","84","30.20","30.11","30.00","10","10","7","20","8","22","T","8","Rain","282<br />","San Francisco (CA)","Winter"
24109,2014-01-30,"58","55","52","51","48","46","93","80","67","29.98","29.91","29.88","10","10","9","30","14","38","T","6","Rain","267<br />","San Francisco (CA)","Winter"
24110,2014-01-31,"60","54","47","46","42","36","86","63","39","30.09","30.04","29.92","10","10","9","32","12","38","0.00","1","","285<br />","San Francisco (CA)","Winter"
24111,2014-02-01,"59","51","42","43","39","36","82","63","43","30.17","30.12","30.08","10","10","10","20","6","23","0.00","1","","270<br />","San Francisco (CA)","Winter"
24112,2014-02-02,"58","53","47","44","42","36","86","74","61","30.04","29.92","29.85","10","8","4","29","12","33","0.85","7","Rain","111<br />","San Francisco (CA)","Winter"
24113,2014-02-03,"56","51","46","43","41","39","82","69","55","30.09","30.04","29.99","10","10","10","25","11","32","0.00","3","","306<br />","San Francisco (CA)","Winter"
24114,2014-02-04,"55","50","44","44","40","36","83","67","50","30.17","30.12","30.09","10","10","10","21","7","23","0.00","4","","288<br />","San Francisco (CA)","Winter"
24115,2014-02-05,"55","49","43","46","42","38","86","73","59","30.21","30.15","30.06","10","10","10","17","7","24","0.09","6","Rain","255<br />","San Francisco (CA)","Winter"
24116,2014-02-06,"52","50","48","52","48","42","100","90","80","30.05","29.96","29.91","10","8","2","20","7","23","0.64","8","Rain","100<br />","San Francisco (CA)","Winter"
24117,2014-02-07,"56","54","51","54","51","49","100","92","83","30.08","30.04","30.00","10","9","3","31","11","40","0.23","8","Rain","152<br />","San Francisco (CA)","Winter"
24118,2014-02-08,"59","56","53","58","55","49","100","92","83","30.15","30.10","30.06","10","5","2","28","13","37","0.42","8","Rain","164<br />","San Francisco (CA)","Winter"
24119,2014-02-09,"59","57","55","58","56","52","100","92","83","30.16","30.12","30.06","10","6","2","21","9","26","0.35","8","Rain","174<br />","San Francisco (CA)","Winter"
24120,2014-02-10,"57","54","51","54","52","50","100","93","86","30.29","30.23","30.14","10","9","2","17","10","20","T","7","Rain","274<br />","San Francisco (CA)","Winter"
24121,2014-02-11,"56","53","49","51","49","48","100","92","83","30.26","30.22","30.18","10","10","7","22","9","26","0.00","6","","287<br />","San Francisco (CA)","Winter"
24122,2014-02-12,"56","51","46","51","48","45","100","92","83","30.29","30.24","30.20","10","7","0","18","6","22","0.00","6","Fog","278<br />","San Francisco (CA)","Winter"
24123,2014-02-13,"67","59","50","57","53","50","100","87","73","30.23","30.17","30.11","10","6","0","15","8","20","0.00","6","Fog","288<br />","San Francisco (CA)","Winter"
24124,2014-02-14,"66","61","56","55","54","50","100","80","60","30.18","30.13","30.06","10","8","2","14","5","16","0.00","7","","293<br />","San Francisco (CA)","Winter"
24125,2014-02-15,"62","57","52","55","52","49","93","83","72","30.05","30.02","30.00","10","10","7","17","5","21","T","7","Rain","174<br />","San Francisco (CA)","Winter"
24126,2014-02-16,"63","57","50","54","47","40","93","68","43","30.21","30.14","30.06","10","10","6","20","8","23","0.01","3","","292<br />","San Francisco (CA)","Winter"
24127,2014-02-17,"61","54","46","49","45","42","86","69","51","30.19","30.16","30.11","10","10","10","21","10","25","0.00","3","","280<br />","San Francisco (CA)","Winter"
24128,2014-02-18,"62","55","48","53","49","45","93","80","67","30.20","30.15","30.12","10","10","5","22","8","25","0.00","5","","272<br />","San Francisco (CA)","Winter"
24129,2014-02-19,"62","57","51","54","48","43","93","72","51","30.22","30.16","30.12","10","10","10","23","14","26","0.01","4","","276<br />","San Francisco (CA)","Winter"
24130,2014-02-20,"67","56","45","47","44","41","86","65","43","30.22","30.17","30.12","10","10","9","18","6","22","0.00","4","","277<br />","San Francisco (CA)","Winter"
24131,2014-02-21,"69","58","47","51","46","40","86","61","35","30.12","30.06","30.00","10","10","10","22","7","26","0.00","1","","282<br />","San Francisco (CA)","Winter"
24132,2014-02-22,"66","56","46","52","48","43","93","78","63","30.03","29.99","29.94","10","10","10","23","9","28","0.00","2","","286<br />","San Francisco (CA)","Winter"
24133,2014-02-23,"63","55","46","52","47","44","93","81","69","30.04","30.00","29.96","10","9","6","23","8","26","0.00","3","","268<br />","San Francisco (CA)","Winter"
24134,2014-02-24,"71","58","45","53","47","41","89","65","40","30.01","29.96","29.91","10","10","10","17","6","21","0.00","1","","302<br />","San Francisco (CA)","Winter"
24135,2014-02-25,"62","55","48","53","48","45","89","78","67","29.99","29.95","29.92","10","9","7","20","6","23","0.00","6","","215<br />","San Francisco (CA)","Winter"
24136,2014-02-26,"60","57","54","56","52","47","93","80","67","29.96","29.84","29.69","10","9","4","31","15","39","0.43","8","Rain","147<br />","San Francisco (CA)","Winter"
24137,2014-02-27,"65","60","55","54","52","50","86","76","65","29.91","29.78","29.50","10","10","8","21","10","31","0.05","7","Rain","163<br />","San Francisco (CA)","Winter"
24138,2014-02-28,"61","58","54","56","51","45","93","79","64","29.49","29.42","29.38","10","9","3","25","15","31","0.68","7","Rain","131<br />","San Francisco (CA)","Winter"
24139,2014-03-01,"63","58","53","55","53","50","100","89","78","29.81","29.63","29.47","10","10","7","22","9","29","0.14","6","Rain","125<br />","San Francisco (CA)","Winter"
24140,2014-03-02,"60","56","52","56","52","49","100","85","69","30.17","30.01","29.82","10","8","3","17","6","22","0.03","6","Rain","192<br />","San Francisco (CA)","Winter"
24141,2014-03-03,"60","55","50","54","51","48","100","82","64","30.16","30.11","30.02","10","10","10","21","7","24","0.08","7","Rain","136<br />","San Francisco (CA)","Winter"
24142,2014-03-04,"62","58","53","56","55","52","100","92","84","30.12","30.08","30.05","10","10","10","14","4","17","T","7","","339<br />","San Francisco (CA)","Winter"
24143,2014-03-05,"68","62","55","59","56","47","100","73","45","30.11","30.06","30.00","10","9","6","17","6","23","0.16","8","Rain","163<br />","San Francisco (CA)","Winter"
24144,2014-03-06,"63","59","54","57","54","52","100","84","67","30.21","30.15","30.05","10","9","7","14","8","16","T","5","Rain","277<br />","San Francisco (CA)","Winter"
24145,2014-03-07,"64","57","49","52","50","45","100","76","52","30.19","30.15","30.11","10","10","7","22","11","25","0.00","3","","291<br />","San Francisco (CA)","Winter"
24146,2014-03-08,"67","58","48","56","50","46","100","78","56","30.21","30.16","30.12","10","10","9","16","6","18","T","5","Rain","306<br />","San Francisco (CA)","Winter"
